season,team,conference,statName,statValue
2025,Oregon,Big Ten,firstDowns,29
2025,Oregon,Big Ten,firstDownsOpponent,17
2025,Oregon,Big Ten,fourthDownConversions,2
2025,Oregon,Big Ten,fourthDownConversionsOpponent,1
2025,Oregon,Big Ten,fourthDowns,2
2025,Oregon,Big Ten,fourthDownsOpponent,2
2025,Oregon,Big Ten,fumblesLost,0
2025,Oregon,Big Ten,fumblesLostOpponent,0
2025,Oregon,Big Ten,fumblesRecovered,0
2025,Oregon,Big Ten,fumblesRecoveredOpponent,0
2025,Oregon,Big Ten,games,1
2025,Oregon,Big Ten,interceptions,0
2025,Oregon,Big Ten,interceptionsOpponent,0
2025,Oregon,Big Ten,kickReturns,4
2025,Oregon,Big Ten,kickReturnsOpponent,2
2025,Oregon,Big Ten,kickReturnTDs,0
2025,Oregon,Big Ten,kickReturnTDsOpponent,0
2025,Oregon,Big Ten,kickReturnYards,91
2025,Oregon,Big Ten,kickReturnYardsOpponent,45
2025,Oregon,Big Ten,netPassingYards,253
2025,Oregon,Big Ten,netPassingYardsOpponent,198
2025,Oregon,Big Ten,passAttempts,25
2025,Oregon,Big Ten,passAttemptsOpponent,31
2025,Oregon,Big Ten,passCompletions,19
2025,Oregon,Big Ten,passCompletionsOpponent,23
2025,Oregon,Big Ten,passingTDs,3
2025,Oregon,Big Ten,passingTDsOpponent,0
2025,Oregon,Big Ten,penalties,3
2025,Oregon,Big Ten,penaltiesOpponent,7
2025,Oregon,Big Ten,penaltyYards,29
2025,Oregon,Big Ten,penaltyYardsOpponent,54
2025,Oregon,Big Ten,possessionTime,1805
2025,Oregon,Big Ten,possessionTimeOpponent,1795
2025,Oregon,Big Ten,puntReturns,3
2025,Oregon,Big Ten,puntReturnTDs,0
2025,Oregon,Big Ten,puntReturnYards,34
2025,Oregon,Big Ten,rushingAttempts,38
2025,Oregon,Big Ten,rushingAttemptsOpponent,27
2025,Oregon,Big Ten,rushingTDs,5
2025,Oregon,Big Ten,rushingTDsOpponent,1
2025,Oregon,Big Ten,rushingYards,254
2025,Oregon,Big Ten,rushingYardsOpponent,46
2025,Oregon,Big Ten,sacks,3
2025,Oregon,Big Ten,sacksOpponent,0
2025,Oregon,Big Ten,tacklesForLoss,7
2025,Oregon,Big Ten,tacklesForLossOpponent,0
2025,Oregon,Big Ten,thirdDownConversions,7
2025,Oregon,Big Ten,thirdDownConversionsOpponent,3
2025,Oregon,Big Ten,thirdDowns,10
2025,Oregon,Big Ten,thirdDownsOpponent,12
2025,Oregon,Big Ten,totalYards,507
2025,Oregon,Big Ten,totalYardsOpponent,244
2025,Oregon,Big Ten,turnovers,0
2025,Oregon,Big Ten,turnoversOpponent,0
